Date,Minutes
2024-11-19,0
2024-11-18,45
2024-11-17,30
2024-11-16,30
2024-11-15,110
2024-11-14,40
2024-11-13,50
2024-11-12,60
2024-11-11,140
2024-11-10,0
2024-11-09,0
2024-11-08,60
2024-11-07,50
2024-11-06,180
2024-11-05,75
2024-11-04,0
2024-11-03,0
2024-11-02,0
2024-11-01,120
2024-10-31,140
2024-10-30,140
2024-10-29,60
2024-10-28,75
2024-10-27,0
2024-10-26,0
2024-10-25,30
2024-10-24,195
2024-10-23,120
2024-10-22,150
2024-10-21,0
2024-10-20,0
2024-10-19,0
2024-10-18,115
2024-10-17,165
2024-10-16,180
2024-10-15,45
2024-10-14,180
